road_segment_id,timestamp,road_health_score,severity_score,priority_score,priority,detection_count,damage_class_counts,avg_confidence,max_severity_score,damage_frame_pct,unique_detections,maintenance_performed,future_road_health,future_priority_score,days_to_next_inspection,days_since_previous_inspection,previous_road_health_score,deterioration_rate,number_of_previous_inspections
ROAD_001,2025-01-08T00:00:00,96,28,21,Routine,1,"{""D00"": 0, ""D10"": 1, ""D20"": 0, ""D40"": 0}",0.5627,56.269999999999996,16.6,1,0,96,20,44,0,96,0.0,0
ROAD_001,2025-02-21T00:00:00,96,26,20,Routine,1,"{""D00"": 1, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.7857,78.57,66.7,1,0,96,21,30,44,96,0.0,1
ROAD_001,2025-03-23T00:00:00,96,29,21,Routine,1,"{""D00"": 1, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.9329,93.28999999999999,33.6,1,0,91,29,35,30,96,0.0,2
ROAD_001,2025-04-27T00:00:00,91,31,29,Routine,2,"{""D00"": 0, ""D10"": 2, ""D20"": 0, ""D40"": 0}",0.6986,79.74,70.3,2,0,92,26,66,35,96,0.1429,3
ROAD_001,2025-07-02T00:00:00,92,26,26,Routine,2,"{""D00"": 2, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.7974,89.66,24.7,2,0,92,27,47,66,91,-0.0152,4
ROAD_001,2025-08-18T00:00:00,92,27,27,Routine,2,"{""D00"": 1, ""D10"": 1, ""D20"": 0, ""D40"": 0}",0.6883,73.49,12.2,2,0,92,26,50,47,92,0.0,5
ROAD_001,2025-10-07T00:00:00,92,25,26,Routine,2,"{""D00"": 2, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.7305,81.22,49.3,2,0,79,46,46,50,92,0.0,6
ROAD_001,2025-11-22T00:00:00,79,36,46,Medium,5,"{""D00"": 1, ""D10"": 3, ""D20"": 1, ""D40"": 0}",0.756,94.84,10.2,5,0,,,,46,92,0.2826,7
ROAD_002,2025-01-30T00:00:00,96,30,22,Routine,1,"{""D00"": 0, ""D10"": 1, ""D20"": 0, ""D40"": 0}",0.6296,62.96000000000001,36.2,1,0,96,21,40,0,96,0.0,0
ROAD_002,2025-03-11T00:00:00,96,28,21,Routine,1,"{""D00"": 1, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.9015,90.14999999999999,68.2,1,0,96,28,49,40,96,0.0,1
ROAD_002,2025-04-29T00:00:00,96,43,28,Routine,1,"{""D00"": 0, ""D10"": 0, ""D20"": 1, ""D40"": 0}",0.9412,94.12,47.3,1,0,78,44,38,49,96,0.0,2
ROAD_002,2025-06-06T00:00:00,78,31,44,Medium,5,"{""D00"": 3, ""D10"": 1, ""D20"": 1, ""D40"": 0}",0.6622,71.93,73.4,5,0,87,35,85,38,96,0.4737,3
ROAD_002,2025-08-30T00:00:00,87,30,35,Routine,3,"{""D00"": 2, ""D10"": 0, ""D20"": 1, ""D40"": 0}",0.7341,83.93,61.0,3,0,92,26,73,85,78,-0.1059,4
ROAD_002,2025-11-11T00:00:00,92,26,26,Routine,2,"{""D00"": 1, ""D10"": 1, ""D20"": 0, ""D40"": 0}",0.638,64.99000000000001,74.6,2,0,77,58,58,73,87,-0.0685,5
ROAD_002,2026-01-08T00:00:00,77,57,58,Medium,10,"{""D00"": 1, ""D10"": 3, ""D20"": 2, ""D40"": 4}",0.7571,94.41000000000001,60.1,10,0,78,50,45,58,92,0.2586,6
ROAD_002,2026-02-22T00:00:00,78,43,50,Medium,5,"{""D00"": 0, ""D10"": 2, ""D20"": 2, ""D40"": 1}",0.6933,94.35,56.4,5,0,,,,45,77,-0.0222,7
ROAD_003,2025-01-05T00:00:00,100,0,0,Routine,0,"{""D00"": 0, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.0,0.0,0.0,0,0,92,27,68,0,100,0.0,0
ROAD_003,2025-03-14T00:00:00,92,28,27,Routine,2,"{""D00"": 1, ""D10"": 1, ""D20"": 0, ""D40"": 0}",0.7399,91.21000000000001,33.3,2,0,92,25,38,68,100,0.1176,1
ROAD_003,2025-04-21T00:00:00,92,24,25,Routine,2,"{""D00"": 2, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.6684,78.3,20.4,2,0,83,44,38,38,92,0.0,2
ROAD_003,2025-05-29T00:00:00,83,35,44,Medium,4,"{""D00"": 2, ""D10"": 0, ""D20"": 2, ""D40"": 0}",0.7431,92.03,59.1,4,0,79,44,54,38,92,0.2368,3
ROAD_003,2025-07-22T00:00:00,79,32,44,Medium,5,"{""D00"": 3, ""D10"": 2, ""D20"": 0, ""D40"": 0}",0.7719,93.67999999999999,45.8,5,0,87,45,54,54,83,0.0741,4
ROAD_003,2025-09-14T00:00:00,87,49,45,Medium,3,"{""D00"": 0, ""D10"": 1, ""D20"": 0, ""D40"": 2}",0.8357,92.95,56.7,3,0,78,51,50,54,79,-0.1481,5
ROAD_003,2025-11-03T00:00:00,78,45,51,Medium,6,"{""D00"": 1, ""D10"": 1, ""D20"": 3, ""D40"": 1}",0.7506,82.09,63.8,6,0,76,51,59,50,87,0.18,6
ROAD_003,2026-01-01T00:00:00,76,42,51,Medium,9,"{""D00"": 1, ""D10"": 2, ""D20"": 6, ""D40"": 0}",0.7811,94.52000000000001,59.4,9,0,,,,59,78,0.0339,7
ROAD_004,2025-01-27T00:00:00,91,25,26,Routine,2,"{""D00"": 2, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.7111,86.99,72.8,2,0,91,32,61,0,91,0.0,0
ROAD_004,2025-03-29T00:00:00,91,37,32,Routine,2,"{""D00"": 0, ""D10"": 1, ""D20"": 1, ""D40"": 0}",0.831,88.62,11.9,2,0,79,45,71,61,91,0.0,1
ROAD_004,2025-06-08T00:00:00,79,33,45,Medium,5,"{""D00"": 2, ""D10"": 3, ""D20"": 0, ""D40"": 0}",0.8175,88.57000000000001,25.3,5,0,83,46,74,71,91,0.169,2
ROAD_004,2025-08-21T00:00:00,83,38,46,Medium,4,"{""D00"": 1, ""D10"": 1, ""D20"": 2, ""D40"": 0}",0.7905,87.22,35.9,4,0,90,43,62,74,79,-0.0541,3
ROAD_004,2025-10-22T00:00:00,90,58,43,Medium,2,"{""D00"": 0, ""D10"": 0, ""D20"": 0, ""D40"": 2}",0.8702,93.62,28.9,2,0,77,50,81,62,83,-0.1129,4
ROAD_004,2026-01-11T00:00:00,77,41,50,Medium,10,"{""D00"": 2, ""D10"": 4, ""D20"": 4, ""D40"": 0}",0.7731,92.92,32.1,10,0,77,52,77,81,90,0.1605,5
ROAD_004,2026-03-29T00:00:00,77,45,52,Medium,10,"{""D00"": 2, ""D10"": 5, ""D20"": 2, ""D40"": 1}",0.7875,92.64,51.2,10,0,78,47,57,77,77,0.0,6
ROAD_004,2026-05-25T00:00:00,78,37,47,Medium,8,"{""D00"": 3, ""D10"": 3, ""D20"": 2, ""D40"": 0}",0.7007,86.50999999999999,51.9,8,0,,,,57,77,-0.0175,7
ROAD_005,2025-01-31T00:00:00,96,31,22,Routine,1,"{""D00"": 0, ""D10"": 1, ""D20"": 0, ""D40"": 0}",0.7382,73.82,55.6,1,0,91,28,88,0,96,0.0,0
ROAD_005,2025-04-29T00:00:00,91,29,28,Routine,2,"{""D00"": 1, ""D10"": 1, ""D20"": 0, ""D40"": 0}",0.7704,82.75,30.2,2,0,91,31,90,88,96,0.0568,1
ROAD_005,2025-07-28T00:00:00,91,34,31,Routine,2,"{""D00"": 0, ""D10"": 2, ""D20"": 0, ""D40"": 0}",0.8365,93.81,13.8,2,0,79,43,63,90,91,0.0,2
ROAD_005,2025-09-29T00:00:00,79,30,43,Medium,5,"{""D00"": 3, ""D10"": 2, ""D20"": 0, ""D40"": 0}",0.7867,88.39,78.6,5,0,88,35,45,63,91,0.1905,3
ROAD_005,2025-11-13T00:00:00,88,30,35,Routine,3,"{""D00"": 2, ""D10"": 0, ""D20"": 1, ""D40"": 0}",0.7553,85.91,33.3,3,0,78,57,78,45,79,-0.2,4
ROAD_005,2026-01-30T00:00:00,78,56,57,Medium,5,"{""D00"": 1, ""D10"": 1, ""D20"": 0, ""D40"": 3}",0.7794,89.97,55.8,5,1,100,0,39,78,88,0.1282,5
ROAD_005,2026-03-10T00:00:00,100,0,0,Routine,0,"{""D00"": 0, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.0,0.0,0.0,0,0,100,0,69,39,78,-0.5641,6
ROAD_005,2026-05-18T00:00:00,100,0,0,Routine,0,"{""D00"": 0, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.0,0.0,0.0,0,0,,,,69,100,0.0,7
